iter,current_best,gbest_value
448,51.6557710709,49.9712045520
449,53.0776871079,49.9712045520
450,54.3966679563,49.9712045520
451,51.0363617818,49.9712045520
452,51.9485733661,49.9712045520
453,52.4452374142,49.9712045520
454,50.5198165588,49.9712045520
455,54.1587833838,49.9712045520
456,51.7903998585,49.9712045520
457,51.7867047949,49.9712045520
458,50.3447225565,49.9712045520
459,54.7666323785,49.9712045520
460,50.6340982407,49.9712045520
461,49.9129143053,49.9129143053
462,53.1033752194,49.9129143053
463,52.7992295032,49.9129143053
464,50.8667799061,49.9129143053
465,48.5849671712,48.5849671712
466,52.6729186576,48.5849671712
467,47.0528327812,47.0528327812
468,46.1590855103,46.1590855103
469,51.5110686449,46.1590855103
470,48.2448352884,46.1590855103
471,46.2119399070,46.1590855103
472,49.9011985338,46.1590855103
473,48.9148346162,46.1590855103
474,44.0772260943,44.0772260943
475,47.7440367300,44.0772260943
476,48.2323148375,44.0772260943
477,45.6252694441,44.0772260943
478,43.8198744226,43.8198744226
479,43.4080812609,43.4080812609
480,43.7394613590,43.4080812609
481,43.0409955033,43.0409955033
482,43.1638378750,43.0409955033
483,43.2364355023,43.0409955033
484,43.2830192333,43.0409955033
485,43.3388511284,43.0409955033
486,43.1103524466,43.0409955033
487,43.1533568233,43.0409955033
488,43.1537370035,43.0409955033
489,43.4648624518,43.0409955033
490,43.0633339070,43.0409955033
491,43.0000409857,43.0000409857
492,43.0412878589,43.0000409857
493,43.1250354147,43.0000409857
494,43.1784130817,43.0000409857
495,42.9987072472,42.9987072472
496,42.8891160934,42.8891160934
497,42.8233142192,42.8233142192
498,42.7846701910,42.7846701910
499,42.7627133501,42.7627133501
500,42.7508812415,42.7508812415
501,42.7450849078,42.7450849078
502,42.7427962268,42.7427962268
503,42.7424682490,42.7424682490
504,40.3025524685,40.3025524685
505,52.6146570417,40.3025524685
506,40.8070340786,40.3025524685
507,40.6268853143,40.3025524685
508,41.5531274494,40.3025524685
509,42.2818856489,40.3025524685
510,38.5897766474,38.5897766474
511,42.3327762866,38.5897766474
512,40.1065234788,38.5897766474
513,38.9636108137,38.5897766474
514,38.5172032064,38.5172032064
515,42.3609624426,38.5172032064
516,40.6467160037,38.5172032064
517,38.0840923870,38.0840923870
518,42.6872322667,38.0840923870
519,38.6309164930,38.0840923870
520,39.3761819936,38.0840923870
521,38.7632396443,38.0840923870
522,40.1111201145,38.0840923870
523,40.3482699871,38.0840923870
524,41.9098147358,38.0840923870
525,39.6741726521,38.0840923870
526,41.4461168958,38.0840923870
527,39.8805633528,38.0840923870
528,40.6490597470,38.0840923870
529,41.7433734830,38.0840923870
530,40.5513871326,38.0840923870
531,39.7284112569,38.0840923870
532,38.4855399215,38.0840923870
533,38.6243795084,38.0840923870
534,38.2645540162,38.0840923870
535,39.7402473213,38.0840923870
536,37.3931163093,37.3931163093
537,37.2818593761,37.2818593761
538,37.9328938424,37.2818593761
539,38.4401377952,37.2818593761
540,37.8865483602,37.2818593761
541,36.8268658354,36.8268658354
542,38.0708197783,36.8268658354
543,36.2252508788,36.2252508788
544,36.5900579319,36.2252508788
545,37.6156162561,36.2252508788
546,38.4495761092,36.2252508788
547,32.7159832841,32.7159832841
548,34.6824815232,32.7159832841
549,35.0530593394,32.7159832841
550,32.4717094157,32.4717094157
551,39.2396731098,32.4717094157
552,33.4619069498,32.4717094157
553,35.0912955228,32.4717094157
554,35.0254448308,32.4717094157
555,35.1595518546,32.4717094157
556,34.1744403548,32.4717094157
557,32.8398006885,32.4717094157
558,35.1723857596,32.4717094157
559,33.7751323919,32.4717094157
560,31.3786174903,31.3786174903
561,32.6406540227,31.3786174903
562,32.4192630951,31.3786174903
563,32.5527705104,31.3786174903
564,36.2313190749,31.3786174903
565,32.4249362099,31.3786174903
566,36.9885206513,31.3786174903
567,25.9973325807,25.9973325807
568,26.5216152712,25.9973325807
569,30.1762889222,25.9973325807
570,28.8158385617,25.9973325807
571,27.7527434515,25.9973325807
572,29.9002277944,25.9973325807
573,30.2138798846,25.9973325807
574,33.0458550026,25.9973325807
575,27.0929054968,25.9973325807
576,28.6623115988,25.9973325807
577,32.5440364989,25.9973325807
578,26.8801747016,25.9973325807
579,29.7817679405,25.9973325807
580,28.8827441057,25.9973325807
581,28.6337757725,25.9973325807
582,28.8904208289,25.9973325807
583,28.9800394488,25.9973325807
584,29.8511659919,25.9973325807
585,27.2869813178,25.9973325807
586,30.8345562954,25.9973325807
587,27.3877202740,25.9973325807
588,27.4679128565,25.9973325807
589,28.4421752708,25.9973325807
590,28.6195514910,25.9973325807
591,27.1204323451,25.9973325807
592,30.8518243132,25.9973325807
593,26.7743007504,25.9973325807
594,27.0747813037,25.9973325807
595,26.8138088259,25.9973325807
596,29.3730634253,25.9973325807
597,26.9288047805,25.9973325807
598,28.9643819408,25.9973325807
599,26.4881836827,25.9973325807
600,26.9854639135,25.9973325807
601,27.7353345501,25.9973325807
602,27.5020534595,25.9973325807
603,26.0722869414,25.9973325807
604,26.5097563730,25.9973325807
605,25.5969156631,25.5969156631
606,28.9970071455,25.5969156631
607,28.7827748563,25.5969156631
608,28.0673366774,25.5969156631
609,25.5138917478,25.5138917478
610,26.1771742109,25.5138917478
611,25.8481061810,25.5138917478
612,26.3756079786,25.5138917478
613,26.3210795872,25.5138917478
614,26.7595253534,25.5138917478
615,25.4568276214,25.4568276214
616,24.7219069947,24.7219069947
617,24.2000530206,24.2000530206
618,23.8599591645,23.8599591645
619,24.8598989550,23.8599591645
620,24.3681649967,23.8599591645
621,24.4911799961,23.8599591645
622,24.5328997734,23.8599591645
623,24.6577010779,23.8599591645
624,24.3035366347,23.8599591645
625,24.0905673624,23.8599591645
626,23.6908941874,23.6908941874
627,23.7145695078,23.6908941874
628,23.5692246947,23.5692246947
629,24.0131080716,23.5692246947
630,23.3014314296,23.3014314296
631,22.7400973098,22.7400973098
632,21.3603962835,21.3603962835
633,22.7733952369,21.3603962835
634,22.7675982610,21.3603962835
635,21.8396862836,21.3603962835
636,21.7821808393,21.3603962835
637,22.6471440164,21.3603962835
638,24.5842993157,21.3603962835
639,22.4431669499,21.3603962835
640,22.8218165908,21.3603962835
641,22.3561185026,21.3603962835
642,23.9733976323,21.3603962835
643,23.6348340902,21.3603962835
644,23.8993173993,21.3603962835
645,21.2210419402,21.2210419402
646,27.1106980018,21.2210419402
647,20.9004963624,20.9004963624
648,26.2123057913,20.9004963624
649,24.8408267424,20.9004963624
650,23.3192990189,20.9004963624
651,21.1442207968,20.9004963624
652,19.4651444279,19.4651444279
653,20.4379207868,19.4651444279
654,19.8184696705,19.4651444279
655,19.9492359408,19.4651444279
656,19.4753188701,19.4651444279
657,19.5597190833,19.4651444279
658,19.8459231690,19.4651444279
659,18.3749800763,18.3749800763
660,23.4653447786,18.3749800763
661,19.5530911637,18.3749800763
662,18.3819022051,18.3749800763
663,18.3997040879,18.3749800763
664,20.7834655729,18.3749800763
665,21.3563485348,18.3749800763
666,18.8045415010,18.3749800763
667,18.8636256038,18.3749800763
668,19.6213759882,18.3749800763
669,21.2987506573,18.3749800763
670,19.5434736120,18.3749800763
671,18.1700180589,18.1700180589
672,18.9893361483,18.1700180589
673,18.5225559407,18.1700180589
674,18.6276793422,18.1700180589
675,18.2301713232,18.1700180589
676,18.1968556096,18.1700180589
677,18.5965032267,18.1700180589
678,18.7489347673,18.1700180589
679,18.4729844123,18.1700180589
680,18.0404643236,18.0404643236
681,18.2943301489,18.0404643236
682,18.0764965366,18.0404643236
683,18.4785251038,18.0404643236
684,18.1008584222,18.0404643236
685,18.3450992986,18.0404643236
686,17.9485097418,17.9485097418
687,18.0259366404,17.9485097418
688,17.3266997181,17.3266997181
689,18.7191515070,17.3266997181
690,17.4126620694,17.3266997181
691,17.3924583464,17.3266997181
692,19.1971019872,17.3266997181
693,18.2417338242,17.3266997181
694,18.0387693359,17.3266997181
695,18.0327149062,17.3266997181
696,17.4782559723,17.3266997181
697,17.8312497215,17.3266997181
698,18.0558434791,17.3266997181
699,18.3534916847,17.3266997181
700,17.8847567028,17.3266997181
701,17.6827638957,17.3266997181
702,17.4178188424,17.3266997181
703,16.7274109631,16.7274109631
704,18.8178053999,16.7274109631
705,16.8434983627,16.7274109631
706,18.0698048749,16.7274109631
707,19.0629106561,16.7274109631
708,19.5436666167,16.7274109631
709,19.0083907915,16.7274109631
710,18.7252959478,16.7274109631
711,19.6897107564,16.7274109631
712,20.0251134345,16.7274109631
713,18.9861328634,16.7274109631
714,18.9819780528,16.7274109631
715,19.3844220144,16.7274109631
716,19.8256712914,16.7274109631
717,17.0434967210,16.7274109631
718,17.3556944712,16.7274109631
719,17.0103277955,16.7274109631
720,17.6797159801,16.7274109631
721,17.4894513667,16.7274109631
722,18.2300099790,16.7274109631
723,18.3167340562,16.7274109631
724,21.3608298406,16.7274109631
725,18.3798484054,16.7274109631
726,18.5344464526,16.7274109631
727,18.5613977249,16.7274109631
728,19.6251202185,16.7274109631
729,18.9376080470,16.7274109631
730,16.5901625334,16.5901625334
731,18.9205231681,16.5901625334
732,18.9194579419,16.5901625334
733,16.8620345064,16.5901625334
734,16.9219918699,16.5901625334
735,17.5145945986,16.5901625334
736,17.0944785358,16.5901625334
737,16.4810156727,16.4810156727
738,16.3877667452,16.3877667452
739,16.4785285466,16.3877667452
740,18.7834832541,16.3877667452
741,17.2499680702,16.3877667452
742,17.4525434564,16.3877667452
743,16.4651018426,16.3877667452
744,17.2311686534,16.3877667452
745,15.8877189599,15.8877189599
746,16.0459519608,15.8877189599
747,16.2580301933,15.8877189599
748,16.7760905222,15.8877189599
749,15.9210372776,15.8877189599
750,15.7633440202,15.7633440202
751,16.3934822876,15.7633440202
752,15.9920154479,15.7633440202
753,15.6585047136,15.6585047136
754,15.9318944616,15.6585047136
755,15.7629220331,15.6585047136
756,15.7376713234,15.6585047136
757,15.6475260088,15.6475260088
758,15.7867618380,15.6475260088
759,15.8118871537,15.6475260088
760,15.7890025808,15.6475260088
761,15.9192567990,15.6475260088
762,15.7625319954,15.6475260088
763,15.8633145152,15.6475260088
764,16.2120529735,15.6475260088
