cognome,nome_original,url_original
img_41,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODAlNUQlN0IxODAlN0Rwc2V1ZG9jYXVsZV8xLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18380%5D%7B180%7Dpseudocaule_1.png
img_42,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODclNUQlN0I0OTAlN0Ricm9jYS5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18387%5D%7B490%7Dbroca.jpg
img_43,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODElNUQlN0IxMzIlN0RwbGFudGFzX2ludmFyb3Jhc18xLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18381%5D%7B132%7Dplantas_invaroras_1.jpg
img_44,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODglNUQlN0IyODQlN0Ricm9jYV9yYWphZGEuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18388%5D%7B284%7Dbroca_rajada.jpg
img_45,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODIlNUQlN0I1MTQlN0RmaWd1cmFfMTNfLV9iLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18382%5D%7B514%7Dfigura_13_-_b.jpg
img_46,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODklNUQlN0IxNjUlN0R0cmlwZXNfbGwuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18389%5D%7B165%7Dtripes_ll.jpg
img_47,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODMlNUQlN0I0MTklN0RmaWd1cmFfMTNfLV9hLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18383%5D%7B419%7Dfigura_13_-_a.jpg
img_48,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODQlNUQlN0I0MDIlN0RpbWdfNzI0OC5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18384%5D%7B402%7Dimg_7248.jpg
img_49,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODUlNUQlN0IzMDElN0RjYW1hcmFfMDIuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18385%5D%7B301%7Dcamara_02.jpg
img_50,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzODYlNUQlN0I0NDMlN0RjZXBhXzYuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18386%5D%7B443%7Dcepa_6.jpg
img_51,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTAlNUQlN0IyODIlN0R0cmlwZXNfZGFfZXJ1cGNhb18xLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18390%5D%7B282%7Dtripes_da_erupcao_1.jpg
img_52,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTclNUQlN0IzNTUlN0Rjb3JkYW5hLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18397%5D%7B355%7Dcordana.png
img_53,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTElNUQlN0I0OTQlN0RhY2Fyb18zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18391%5D%7B494%7Dacaro_3.jpg
img_54,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTglNUQlN0IzNjUlN0RwYW5hbWFfMS5wbmc=.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18398%5D%7B365%7Dpanama_1.png
img_55,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTIlNUQlN0IyNTYlN0R0cmFjYV9hZHVsdG9fMS5wbmc=.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18392%5D%7B256%7Dtraca_adulto_1.png
img_56,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTklNUQlN0IxNDElN0RmaWd1cmFfN2JfZm9saGFfY29tX2ZhaXhhc19hbWFyZWxhcy5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18399%5D%7B141%7Dfigura_7b_folha_com_faixas_amarelas.jpg
img_57,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTMlNUQlN0IyMDclN0Rtb2xlcXVlX2Z1bmdvLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18393%5D%7B207%7Dmoleque_fungo.png
img_58,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTQlNUQlN0IyMzglN0RzaWdhdG9rYV9hbWFyZWxhLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18394%5D%7B238%7Dsigatoka_amarela.png
img_59,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTUlNUQlN0I1MDclN0RzaWdhdG9rYV9uZWdyYS5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18395%5D%7B507%7Dsigatoka_negra.jpg
img_60,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzOTYlNUQlN0IzNjclN0RzaWdhdG9rYV8zLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18396%5D%7B367%7Dsigatoka_3.png
img_61,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTI5ODUlNUQlN0I0NCU3RHJlY29tZW5kYWNhb19jdWx0aXZhcmVzLnBuZw==.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B12985%5D%7B44%7Drecomendacao_cultivares.png
img_62,aHR0cHM6Ly9pbnRyYW5ldGRvYy5lcGFncmkuc2MuZ292LmJyL3NlZGltb2IvYXJxX2FuZXhvcy8lNUIxMjk4NSU1RCU3QjclN0R0YTEuZ2lm.gif,https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B7%7Dta1.gif
img_63,aHR0cHM6Ly9pbnRyYW5ldGRvYy5lcGFncmkuc2MuZ292LmJyL3NlZGltb2IvYXJxX2FuZXhvcy8lNUIxMjk4NSU1RCU3Qjg2JTdEdGE1LnBuZw==.png,https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B12985%5D%7B86%7Dta5.png
